SiteID,Institute,Station name,County,OSD2014_StationName_ENA,OSD2018_StationName_ENA,OSD2019_StationName_ENA,Participated in OSD2014,Participated in OSD2018,Participated in OSD2019,,
OSD151,,South Atlantic Microbial Observatory,URY,South Atlantic Microbial Observatory,,,1,,,,
OSD152,Dalhousie University,Bedford Basin Canada,CAN,Compass Buoy Station - Bedford Basin,Bedford Basin Canada,Bedford Basin Canada,1,1,1,,
OSD153,Centre of Marine Sciences,Faro Island Portugal,PRT,Faro Island,Faro Island Portugal,Faro Island Portugal,1,1,1,,
OSD154,,Arcachon-SOMLIT,FRA,Arcachon-SOMLIT,,,1,,,,
OSD155,,Steilene Oslofjord,ISL,Steilene Oslofjord,,,1,,,,
OSD156,,Hvaler Tisler Site,NOR,Hvaler Tisler Site,,,1,,,,
OSD157,,ELLEIm2,NOR,ELLEIm2,,,1,,,,
OSD158,,Sao Miguel Azores II,POR,Sao Miguel Azores II,,,1,,,,
OSD159,Centre national de la recherche scientifique,Brest Somlit France,FRA,Brest-SOMLIT,Brest Somlit France,Brest Somlit France,1,1.00,1,,
OSD162,,Stonehaven,GBR,Stonehaven,,,1,,,,
OSD163,,Scapa,GBR,Scapa,,,1,,,,
OSD164,,Scalloway,GBR,Scalloway,,,1,,,,
OSD165,,Loch Ewe,GBR,Loch Ewe,,,1,,,,
OSD166,,Armintza,FRA,Armintza,,,1,,,,
OSD167,,Eyafjordur_6,ISL,Eyafjordur_6,,,1,,,,
OSD168,,IMST_izmir,TUR,IMST_izmir,,,1,,,,
OSD169,,Brightlingsea Creek,GBR,Brightlingsea Creek,,,1,,,,
OSD170,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,130.00,Oostende Belgium,,1,1,,,
OSD171,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,230.00,Oostende Belgium,,1,1,,,
OSD172,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,700.00,,,1,,,,
OSD173,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,710.00,,,1,,,,
OSD174,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,780.00,,,1,,,,
OSD175,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,ZG02,Oostende Belgium,,1,1,,,
OSD176,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,215.00,Oostende Belgium,,1,1,,,
OSD177,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,120.00,Oostende Belgium,,1,1,,,
OSD178,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,435.00,Oostende Belgium,,1,1,,,
OSD179,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,,Oostende Belgium,,,1,,,
OSD180,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,,Oostende Belgium,,,1,,,
OSD182,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,W08,Oostende Belgium,,1,1,,,
OSD183,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,W09,Oostende Belgium,,1,1,,,
OSD184,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,W10,Oostende Belgium,,1,1,,,
OSD185,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,421.00,Oostende Belgium,,1,1,,,
OSD186,,SERC Rhode River Maryland,USA,SERC Rhode River Maryland,,,1,,,,
OSD188,,Rottnest Island,AUS,Rottnest Island,,,1,,,,
OSD189,,Yongala,USA,Yongala,,,1,,,,
OSD190,,Kangaroo Island,AUS,Kangaroo Island,,,1,,,,
OSD191,,Darwin,AUS,Darwin,,,1,,,,
OSD210,,Gruissan France,FRA,,Gruissan France,Gruissan France,,1,1,,
OSD211,,La Palme France,FRA,,La Palme France,La Palme France,,1,1,,
OSD212,,Hellerup Denmark,DNK,,Hellerup Denmark,,,1,,,
OSD214,,Marchica Morocco,MAR,,Marchica Morocco,,,1,,,
OSD216,,Senigallia Italy,ITA,,Senigallia Italy,,,1,,,
OSD217,,Duncans Cove Canada,CAN,,Duncans Cove Canada,,,1,,,
OSD218,,Sable Island Canada,CAN,,Sable Island Canada,,,1,,,
OSD219,,Spiddal Galway Ireland,IRL,,Spiddal Galway Ireland,Spiddal Galway Ireland,,1,1,,
OSD220,,Vigo Spain,ESP,,Vigo Spain,,,1,,,
OSD223,,Gdansk Poland,POL,,Gdansk Poland,Gdansk Poland,,1,1,,
OSD224,,NIOZ Jetty Netherlands,NLD,,,NIOZ Jetty Netherlands,,,1,,
OSD227,,GO SBR Crenula France,FRA,,GO SBR Crenula France,GO SBR Crenula France,,1,1,,
OSD228,,Crete Greece,GRC,,Crete Greece,,,1,,,
OSD229,,Crete Greece,GRC,,Crete Greece,,,1,,,
OSD231,,Messina Italy,ITA,,Messina Italy,,,1,,,
OSD232,,Portici Italy,ITA,,Portici Italy,Portici Italy,,1,1,,
OSD233,,Messina Italy,ITA,,Messina Italy,,,1,,,
OSD237,,Getxo Marina Spain,ESP,,,Getxo Marina Spain,,,1,,
OSD238,,Plentzia Bay Spain,ESP,,,Plentzia Bay Spain,,,1,,
