SiteID,Institute,Station name,County_ISO3,County_ISO2
OSD154,Centre Nationale Recherche Scientific,Arcachon-SOMLIT,FRA,FR
OSD155,Kind Of Blue Project (Private/Individual),Steilene Oslofjord,NOR,NO
OSD156,Kind Of Blue Project (Private/Individual),Hvaler Tisler Site,NOR,NO
OSD157,Kind Of Blue Project (Private/Individual),ELLEIm2,NOR,NO
OSD158,"Josephine Bay Paul Center for Comparative Molecular Biology and Evolution, Marine Biological Laboratory",Sao Miguel Azores II,USA,US
OSD159,Centre national de la recherche scientifique,Brest Somlit France,FRA,FR
OSD162,Marine Scotland Science,Stonehaven,GBR,GB
OSD163,Marine Scotland Science,Scapa,GBR,GB
OSD164,"Centro Universitario de la Región Este, Rocha",Scalloway,URY,UY
OSD165,Marine Scotland Science,Loch Ewe,GBR,GB
OSD166,Plentzia Marine Station,Armintza,ESP,ES
OSD167,Jacobs University Bremen and University of Akureyri,Eyafjordur_6,ISL,IS
OSD168,Dokuz Eylul University Institute of Marine Sciences and Technology,IMST_izmir,TUR,TR
OSD169,University of Essex,"Brightlingsea Creek, Essex",GBR,GB
OSD170,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,BE
OSD171,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,BE
OSD172,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,BE
OSD173,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,BE
OSD174,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,BE
OSD175,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,BE
OSD176,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,BE
OSD177,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,BE
OSD178,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,BE
OSD179,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,BE
OSD180,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,BE
OSD182,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,BE
OSD183,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,BE
OSD184,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,BE
OSD185,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,BE
OSD186,Smithsonian Environmental Research Center,SERC Rhode River Maryland,USA,US
OSD188,IMOS/CSIRO,Rottnest Island,AUS,AU
OSD189,IMOS/AIMS/CSIRO,Yongala,AUS,AU
OSD190,IMOS/SARDI/CSIRO,Kangaroo Island,AUS,AU
OSD191,IMOS/AIMS/CSIRO,Darwin,AUS,AU
OSD205,Centre for Bioinformatics and Systems Biology. Faculty of Science. University of Khartoum,Abu Hashish Sudan,SDN,SD
OSD210,Leibniz Institute for Baltic Sea Research,Gruissan France,FRA,FR
OSD211,Leibniz Institute for Baltic Sea Research,La Palme France,FRA,FR
OSD212,Technical University of Denmark,Hellerup Denmark,DNK,DK
OSD213,Ruder Boskovic Institute. Center for Marine Research,Rovinj Croatia,HRV,HR
OSD214,Faculty of Sciences of Oujda,Marchica Morocco,MAR,MA
OSD216,Institute of Marine Science. National Research Council,Senigallia Italy,ITA,IT
OSD217,Dalhousie University,Duncans Cove Canada,CAN,CA
OSD218,Dalhousie University,Sable Island Canada,CAN,CA
OSD219,Ryan Institute and School of Natural Sciences,Spiddal Galway Ireland,IRL,IE
OSD220,University of Vigo,Vigo Spain,ESP,ES
OSD223,University of Gdansk,Gdansk Poland,POL,PL
OSD224,Royal Netherlands Institute for Sea Research,NIOZ-Jetty Netherlands,NLD,NL
OSD225,Faculty of Oceanography. Univsersity of Calabar,Macorn-Unical Nigeria,NGA,NG
OSD227,Station Biologique de Roscoff,GO SBR Crenula France,FRA,FR
OSD228,Hellenic Centre for Marine Research,Crete Greece,GRC,GR
OSD229,Hellenic Centre for Marine Research,Crete Greece,GRC,GR
OSD231,Institute for Coastal Marine Environments. National Research Council,Messina Italy,ITA,IT
OSD232,Stazione Zoologica Anton Dohrn,Portici Italy,ITA,IT
OSD233,Institute for Coastal Marine Environments. National Research Council,Messina Italy,ITA,IT
OSD234,Centre for Bioinformatics and Systems Biology. Faculty of Science. University of Khartoum,Green Area_Sudan,SDN,SD
OSD237,Plentzia Marine Station,Getxo Marina Spain,ESP,ES
OSD238,Plentzia Marine Station,Plentzia Bay Spain,ESP,ES
